Variable,Units,Description
orbit.jacket_length,m,Length/height of jacket (including pile/buckets).
orbit.jacket_mass,t,mass of an individual jacket.
orbit.jacket_cost,USD,Jacket unit cost.
orbit.jacket_r_foot,m,Radius of jacket legs at base from centeroid.
orbit.transition_piece_mass,t,mass of an individual transition piece.
orbit.transition_piece_deck_space,m**2,Deck space required to transport a transition piece. Defaults to 0 in order to not be a constraint on installation.
orbit.transition_piece_cost,USD,Transition piece unit cost.
orbit.construction_insurance,USD/kW,Cost for construction insurance
orbit.construction_financing,USD/kW,Cost for construction financing
orbit.contingency,USD/kW,Cost in case of contingency
orbit.site_auction_price,USD,Cost to secure site lease
orbit.site_assessment_cost,USD,Cost to execute site assessment
orbit.construction_plan_cost,USD,Cost to do construction planning
orbit.installation_plan_cost,USD,Cost to do construction planning
orbit.boem_review_cost,USD,Cost for additional review by U.S. Dept of Interior Bureau of Ocean Energy Management (BOEM)
orbit.commissioning_cost_kW,USD/kW,Commissioning cost.
orbit.decommissioning_cost_kW,USD/kW,Decommissioning cost.
orbit.wtiv,n/a,Vessel configuration to use for installation of foundations and turbines.
orbit.feeder,n/a,Vessel configuration to use for (optional) feeder barges.
orbit.num_feeders,n/a,Number of feeder barges to use for installation of foundations and turbines.
orbit.num_towing,n/a,Number of towing vessels to use for floating platforms that are assembled at port (with or without the turbine).
orbit.num_station_keeping,n/a,Number of station keeping or AHTS vessels that attach to floating platforms under tow-out.
orbit.oss_install_vessel,n/a,Vessel configuration to use for installation of offshore substations.
orbit.number_of_turbines,n/a,Number of turbines.
orbit.number_of_blades,n/a,Number of blades per turbine.
orbit.num_mooring_lines,n/a,Number of mooring lines per platform.
orbit.anchor_type,n/a,Number of mooring lines per platform.
orbit.num_assembly_lines,n/a,Number of assembly lines used when assembly occurs at the port.
orbit.num_port_cranes,n/a,Number of cranes used at the port to load feeders / WTIVS when assembly occurs on-site or assembly cranes when assembling at port.
outputs_2_screen.aep,GW*h,
outputs_2_screen.blade_mass,kg,
outputs_2_screen.lcoe,USD/MW/h,
outputs_2_screen.My_std,N*m,
outputs_2_screen.flp1_std,deg,
outputs_2_screen.PC_omega,rad/s,
outputs_2_screen.PC_zeta,,
outputs_2_screen.VS_omega,rad/s,
outputs_2_screen.VS_zeta,,
outputs_2_screen.Flp_omega,rad/s,
outputs_2_screen.Flp_zeta,,
outputs_2_screen.tip_deflection,m,
wombat.years,year,Number of years to simulation the operations and maintenance phase of the farm lifecycle
wombat.equipment_dispatch_distance,km,"Distance, in km, that servicing equipment must travel daily to reach the wind farm"
wombat.repair_port_distance,km,"Distance, in km, that tugboats must travel to reach the wind farm for tow-to-port repairs"
wombat.reduced_speed,km/h,Reduced speed applied to servicing equipment in the reduced speed period
wombat.project_capacity,MW,Total wind farm capacity
wombat.turbine_capex_kw,USD/kW,Turbine CapEx per kW of nameplate capacity
wombat.turbine_capacity,W,Turbine nameplate capacity
wombat.power_converter_minor_repair_scale,unitless,1 / mean time between failure (years)
wombat.power_converter_minor_repair_time,h,Number of hours to complete the repair
wombat.power_converter_minor_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.power_converter_major_repair_scale,unitless,1 / mean time between failure (years)
wombat.power_converter_major_repair_time,h,Number of hours to complete the repair
wombat.power_converter_major_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.power_converter_replacement_scale,unitless,1 / mean time between failure (years)
wombat.power_converter_replacement_time,h,Number of hours to complete the repair
wombat.power_converter_replacement_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.electrical_system_minor_repair_scale,unitless,1 / mean time between failure (years)
wombat.electrical_system_minor_repair_time,h,Number of hours to complete the repair
wombat.electrical_system_minor_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.electrical_system_major_repair_scale,unitless,1 / mean time between failure (years)
wombat.electrical_system_major_repair_time,h,Number of hours to complete the repair
wombat.electrical_system_major_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.electrical_system_replacement_scale,unitless,1 / mean time between failure (years)
wombat.electrical_system_replacement_time,h,Number of hours to complete the repair
wombat.electrical_system_replacement_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.hydraulic_pitch_system_minor_repair_scale,unitless,1 / mean time between failure (years)
wombat.hydraulic_pitch_system_minor_repair_time,h,Number of hours to complete the repair
wombat.hydraulic_pitch_system_minor_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.hydraulic_pitch_system_major_repair_scale,unitless,1 / mean time between failure (years)
wombat.hydraulic_pitch_system_major_repair_time,h,Number of hours to complete the repair
wombat.hydraulic_pitch_system_major_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.hydraulic_pitch_system_replacement_scale,unitless,1 / mean time between failure (years)
wombat.hydraulic_pitch_system_replacement_time,h,Number of hours to complete the repair
wombat.hydraulic_pitch_system_replacement_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.ballast_pump_minor_repair_scale,unitless,1 / mean time between failure (years)
wombat.ballast_pump_minor_repair_time,h,Number of hours to complete the repair
wombat.ballast_pump_minor_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.yaw_system_minor_repair_scale,unitless,1 / mean time between failure (years)
wombat.yaw_system_minor_repair_time,h,Number of hours to complete the repair
wombat.yaw_system_minor_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.yaw_system_major_repair_scale,unitless,1 / mean time between failure (years)
wombat.yaw_system_major_repair_time,h,Number of hours to complete the repair
wombat.yaw_system_major_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.yaw_system_replacement_scale,unitless,1 / mean time between failure (years)
wombat.yaw_system_replacement_time,h,Number of hours to complete the repair
wombat.yaw_system_replacement_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.rotor_blades_minor_repair_scale,unitless,1 / mean time between failure (years)
wombat.rotor_blades_minor_repair_time,h,Number of hours to complete the repair
wombat.rotor_blades_minor_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.rotor_blades_major_repair_scale,unitless,1 / mean time between failure (years)
wombat.rotor_blades_major_repair_time,h,Number of hours to complete the repair
wombat.rotor_blades_major_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.rotor_blades_replacement_scale,unitless,1 / mean time between failure (years)
wombat.rotor_blades_replacement_time,h,Number of hours to complete the repair
wombat.rotor_blades_replacement_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.generator_minor_repair_scale,unitless,1 / mean time between failure (years)
wombat.generator_minor_repair_time,h,Number of hours to complete the repair
wombat.generator_minor_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.generator_major_repair_scale,unitless,1 / mean time between failure (years)
wombat.generator_major_repair_time,h,Number of hours to complete the repair
wombat.generator_major_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.generator_replacement_scale,unitless,1 / mean time between failure (years)
wombat.generator_replacement_time,h,Number of hours to complete the repair
wombat.generator_replacement_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.drive_train_minor_repair_scale,unitless,1 / mean time between failure (years)
wombat.drive_train_minor_repair_time,h,Number of hours to complete the repair
wombat.drive_train_minor_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.drive_train_major_repair_scale,unitless,1 / mean time between failure (years)
wombat.drive_train_major_repair_time,h,Number of hours to complete the repair
wombat.drive_train_major_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.drive_train_replacement_scale,unitless,1 / mean time between failure (years)
wombat.drive_train_replacement_time,h,Number of hours to complete the repair
wombat.drive_train_replacement_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.anchor_minor_repair_scale,unitless,1 / mean time between failure (years)
wombat.anchor_minor_repair_time,h,Number of hours to complete the repair
wombat.anchor_minor_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.anchor_major_repair_scale,unitless,1 / mean time between failure (years)
wombat.anchor_major_repair_time,h,Number of hours to complete the repair
wombat.anchor_major_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.anchor_replacement_scale,unitless,1 / mean time between failure (years)
wombat.anchor_replacement_time,h,Number of hours to complete the repair
wombat.anchor_replacement_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.mooring_lines_minor_repair_scale,unitless,1 / mean time between failure (years)
wombat.mooring_lines_minor_repair_time,h,Number of hours to complete the repair
wombat.mooring_lines_minor_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.mooring_lines_major_repair_scale,unitless,1 / mean time between failure (years)
wombat.mooring_lines_major_repair_time,h,Number of hours to complete the repair
wombat.mooring_lines_major_repair_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.mooring_lines_replacement_scale,unitless,1 / mean time between failure (years)
wombat.mooring_lines_replacement_time,h,Number of hours to complete the repair
wombat.mooring_lines_replacement_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.mooring_lines_buoyancy_module_replacement_scale,unitless,1 / mean time between failure (years)
wombat.mooring_lines_buoyancy_module_replacement_time,h,Number of hours to complete the repair
wombat.mooring_lines_buoyancy_module_replacement_materials,USD,"Total cost of materials used to complete the repair. If between 0 and 1, the cost is proportional to the turbine CapEx."
wombat.workday_start,n/a,Hour of the day where any work-related activities begin
wombat.workday_end,n/a,Hour of the day where any work-related activities end
wombat.n_ctv,n/a,Number of crew transfer vessels (offshore) or onsite trucks (land-based) that should be made available to the wind farm.
